symbol,NiftyMidcap150,NiftyMidcap400,Nifty500,NiftySmallcap50,NiftySmallcap250,NiftyMidcap50,Nifty200,NiftyNext50,Nifty100,Nifty50
3MINDIA,True,True,True,False,False,False,False,False,False,False
AARTIDRUGS,False,True,True,True,True,False,False,False,False,False
AARTIIND,True,True,True,False,False,True,True,False,False,False
AAVAS,True,True,True,False,False,False,False,False,False,False
ABB,True,True,True,False,False,False,False,False,False,False
ABBOTINDIA,True,True,True,False,False,False,False,False,False,False
ABCAPITAL,True,True,True,False,False,False,True,False,False,False
ABFRL,True,True,True,False,False,False,True,False,False,False
ACC,False,False,True,False,False,False,True,True,True,False
ADANIENT,False,False,True,False,False,False,True,True,True,False
ADANIGREEN,False,False,True,False,False,False,True,True,True,False
ADANIPORTS,False,False,True,False,False,False,True,False,True,True
ADANITRANS,False,False,True,False,False,False,True,True,True,False
ADVENZYMES,False,True,True,False,True,False,False,False,False,False
AEGISCHEM,False,True,True,False,True,False,False,False,False,False
AFFLE,True,True,True,False,False,False,False,False,False,False
AIAENG,True,True,True,False,False,False,False,False,False,False
AJANTPHARM,True,True,True,False,False,False,True,False,False,False
ALEMBICLTD,False,True,True,False,True,False,False,False,False,False
ALKEM,True,True,True,False,False,True,True,False,False,False
ALKYLAMINE,True,True,True,False,False,False,False,False,False,False
ALOKINDS,False,True,True,True,True,False,False,False,False,False
AMARAJABAT,True,True,True,False,False,False,True,False,False,False
AMBER,False,True,True,True,True,False,False,False,False,False
AMBUJACEM,False,False,True,False,False,False,True,True,True,False
ANGELONE,False,True,True,False,True,False,False,False,False,False
ANURAS,False,True,True,True,True,False,False,False,False,False
APLAPOLLO,True,True,True,False,False,False,False,False,False,False
APLLTD,True,True,True,False,False,False,True,False,False,False
APOLLOHOSP,False,False,True,False,False,False,True,True,True,False
APOLLOTYRE,True,True,True,False,False,True,True,False,False,False
ASAHIINDIA,False,True,True,False,True,False,False,False,False,False
ASHOKA,False,True,True,False,True,False,False,False,False,False
ASHOKLEY,True,True,True,False,False,True,True,False,False,False
ASIANPAINT,False,False,True,False,False,False,True,False,True,True
ASTERDM,False,True,True,False,True,False,False,False,False,False
ASTRAL,True,True,True,False,False,True,True,False,False,False
ASTRAZEN,False,True,True,False,True,False,False,False,False,False
ATGL,True,True,True,False,False,False,True,False,False,False
ATUL,True,True,True,False,False,False,False,False,False,False
AUBANK,True,True,True,False,False,True,True,False,False,False
AUROPHARMA,False,False,True,False,False,False,True,True,True,False
AVANTIFEED,False,True,True,True,True,False,False,False,False,False
AXISBANK,False,False,True,False,False,False,True,False,True,True
BAJAJ,False,False,False,False,False,False,False,False,False,True
BAJAJ-AUTO,False,False,True,False,False,False,True,False,True,False
BAJAJCON,False,True,True,False,True,False,False,False,False,False
BAJAJELEC,False,True,True,True,True,False,False,False,False,False
BAJAJFINSV,False,False,True,False,False,False,True,False,True,True
BAJAJHLDNG,False,False,True,False,False,False,True,True,True,False
BAJFINANCE,False,False,True,False,False,False,True,False,True,True
BALAMINES,False,True,True,True,True,False,False,False,False,False
BALKRISIND,True,True,True,False,False,True,True,False,False,False
BALRAMCHIN,False,True,True,False,True,False,False,False,False,False
BANDHANBNK,False,False,True,False,False,False,True,True,True,False
BANKBARODA,False,False,True,False,False,False,True,True,True,False
BANKINDIA,True,True,True,False,False,True,True,False,False,False
BASF,False,True,True,False,True,False,False,False,False,False
