company,ema50,ema200,ratio,outcome,action,longName,price,regularMarketVolume,marketCap,bookValue,priceToBook,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh
3MINDIA,19892.75327661317,20097.5025019799,1.0239955778243992,far away,sell,3M India Limited,18747.5,8310,211762380800,1554.249,12.062096,4637,5796,3047.5,0.19410828,15700.0 - 25200.0,-6452.5,-0.2560516,15700.0,25200.0
AARTIIND,1036.128938945227,951.8832683157788,8.47536753765895,far away,buy,Aarti Industries Limited,1070.1,440004,186751713280,170.871,6.262619,463138,337429,402.09998,0.60194606,668.0 - 1229.0,-158.90002,-0.12929213,668.0,1229.0
AAVAS,1378.0197939777797,1407.2663606143788,2.1000762588346342,far away,sell,Aavas Financiers Limited,1397.5,63407,109411950592,267.855,5.217375,125152,147995,548.45,0.6459573,849.05 - 2101.0,-703.5,-0.33484057,849.05,2101.0
ABB,921.2538486927987,1022.68128970322,10.435270087674969,far away,sell,ABB India Limited,900.8,79790,191189385216,169.533,5.31342,228499,213453,178.79999,0.24764541,722.0 - 1601.0,-700.2,-0.43735167,722.0,1601.0
ABBOTINDIA,16384.932225285822,15017.980417505129,8.705891859967323,far away,buy,Abbott India Limited,16506.15,9244,350749097984,1144.308,14.42457,14653,11236,6156.1504,0.59479713,10350.0 - 18679.8,-2173.6504,-0.11636368,10350.0,18679.8
ABCAPITAL,64.10189664331403,67.96019794255157,5.843162356824357,far away,sell,Aditya Birla Capital Limited,69.85,2625727,168626978816,53.395,1.3081748,4066050,2999332,32.5,0.8701473,37.35 - 115.35,-45.5,-0.39445168,37.35,115.35
ABFRL,133.46618351809593,156.12130701317048,15.64647937900377,far away,sell,Aditya Birla Fashion and Retail Limited,133.15,1337764,115074080768,13.878,9.594321,2118000,2116397,36.149994,0.37268034,97.0 - 285.5,-152.35,-0.53362525,97.0,285.5
ACC,1359.925025489376,1347.5982315623548,0.9105586734973372,far away,buy,ACC Limited,1431.8,1270015,268969361408,632.36,2.2642167,1116256,1103791,536.65,0.59950846,895.15 - 1709.0,-277.19995,-0.1622001,895.15,1709.0
ADANIGAS,174.77717564868587,149.81859332392548,15.378254869900248,far away,buy,Adani Gas Limited,193.3,4266371,212486963200,13.374,14.453418,2745337,3888325,116.700005,1.5234988,76.6 - 215.0,-21.699997,-0.10093022,76.6,215.0
ADANIGREEN,468.2586108375735,299.2199856269667,44.050381597427865,far away,buy,Adani Green Energy Limited,665.6,20106232,1041244684288,15.067,44.17601,1562053,2483662,614.3,11.974659,51.3 - 697.9,-32.30005,-0.04628177,51.3,697.9
