company,date,current volume,mean volume,action
3MINDIA,2020-02-03,4631.0,8520.589285714286,False
AARTIDRUGS,2020-02-03,103097.0,97765.07142857143,True
AARTIIND,2020-02-03,381788.0,389084.8035714286,False
ABB,2020-02-03,109664.0,92942.10714285714,True
ABBOTINDIA,2020-02-03,12274.0,23379.464285714286,False
ABFRL,2020-02-03,913074.0,1570249.0535714286,False
ACC,2020-02-03,1483250.0,1534288.3035714286,False
ACCELYA,2020-02-03,6410.0,18604.428571428572,False
ADANIENT,2020-02-03,2224751.0,3759015.1071428573,False
ADANIPORTS,2020-02-03,6352246.0,5836847.839285715,True
ADVENZYMES,2020-02-03,42314.0,147953.73214285713,False
AEGISCHEM,2020-02-03,53718.0,189424.23214285713,False
AGCNET,2020-02-03,2284.0,6982.214285714285,False
AHLUCONT,2020-02-03,17823.0,23465.75,False
AIAENG,2020-02-03,68553.0,73912.03571428571,False
AJANTPHARM,2020-02-03,279909.0,212559.32142857142,True
AKZOINDIA,2020-02-03,9550.0,22332.446428571428,False
ALKEM,2020-02-03,351567.0,150986.3392857143,True
ALKYLAMINE,2020-02-03,181157.0,48173.44642857143,True
ALLCARGO,2020-02-03,29431.0,155166.3392857143,False
AMARAJABAT,2020-02-03,1277069.0,1247548.0,True
AMBER,2020-02-03,39112.0,93375.17857142857,False
AMBUJACEM,2020-02-03,3151132.0,5807606.375,False
AMRUTANJAN,2020-02-03,47216.0,82968.64285714286,False
ANANTRAJ,2020-02-03,69079.0,205981.8392857143,False
ANDHRAPAP,2020-02-03,69079.0,205981.8392857143,False
APARINDS,2020-02-03,8335.0,27417.964285714286,False
APEX,2020-02-03,111733.0,217874.14285714287,False
APLAPOLLO,2020-02-03,13688.0,51772.517857142855,False
APLLTD,2020-02-03,485702.0,474218.1785714286,True
APOLLOHOSP,2020-02-03,1386447.0,1281408.982142857,True
APOLLOTYRE,2020-02-03,7712369.0,6855932.357142857,True
ARVIND,2020-02-03,1845775.0,1645199.857142857,True
ASAHIINDIA,2020-02-03,28079.0,46083.58928571428,False
ASHOKLEY,2020-02-03,30177711.0,37901315.83928572,False
ASIANPAINT,2020-02-03,2260057.0,2946751.6428571427,False
ASIANTILES,2020-02-03,38947.0,84039.03571428571,False
ASTEC,2020-02-03,233509.0,99071.16071428571,True
ASTERDM,2020-02-03,855813.0,313043.64285714284,True
ASTRAL,2020-02-03,185397.0,107944.23214285714,True
ASTRAZEN,2020-02-03,44121.0,49253.125,False
ATFL,2020-02-03,16688.0,10354.07142857143,True
ATUL,2020-02-03,74692.0,42788.607142857145,True
AUBANK,2020-02-03,690244.0,974133.4107142857,False
AUROPHARMA,2020-02-03,3656735.0,8155109.964285715,False
AUTOAXLES,2020-02-03,6808.0,13386.0,False
AVANTIFEED,2020-02-03,224644.0,698048.5714285715,False
AXISBANK,2020-02-03,72430787.0,37802998.89285714,True
BAJAJ-AUTO,2020-02-03,563888.0,903693.7142857143,False
BAJAJCON,2020-02-03,151876.0,320637.48214285716,False
BAJAJELEC,2020-02-03,137949.0,244137.5892857143,False
BAJAJFINSV,2020-02-03,2498677.0,883414.75,True
BAJAJHLDNG,2020-02-03,15851.0,73383.76785714286,False
BAJFINANCE,2020-02-03,17335246.0,8147465.982142857,True
BALAMINES,2020-02-03,996762.0,112254.03571428571,True
BALKRISIND,2020-02-03,1151203.0,877094.875,True
BALMLAWRIE,2020-02-03,76332.0,226975.60714285713,False
BALRAMCHIN,2020-02-03,1153330.0,785796.5714285715,True
BANARISUG,2020-02-03,277.0,509.0,False
BATAINDIA,2020-02-03,1688595.0,1160139.875,True
BAYERCROP,2020-02-03,139534.0,29718.98214285714,True
BBTC,2020-02-03,39067.0,63105.892857142855,False
BEL,2020-02-03,16020557.0,15705622.67857143,True
BEML,2020-02-03,409190.0,643817.6785714285,False
BERGEPAINT,2020-02-03,1479937.0,1630021.9107142857,False
BHARATFORG,2020-02-03,4309946.0,3175994.5,True
BHARATRAS,2020-02-03,3037.0,2914.1071428571427,True
BHEL,2020-02-03,38437471.0,43768802.39285714,False
BIOCON,2020-02-03,7296906.0,7297969.017857143,False
BIRLACORPN,2020-02-03,10220582.0,371333.1964285714,True
BLISSGVS,2020-02-03,70139.0,241132.57142857142,False
BLUEDART,2020-02-03,22511.0,9756.464285714286,True
BLUESTARCO,2020-02-03,152028.0,101554.08928571429,True
BOMDYEING,2020-02-03,427452.0,1084286.9464285714,False
BOSCHLTD,2020-02-03,28661.0,34198.357142857145,False
BPCL,2020-02-03,9065326.0,9769803.0,False
BRIGADE,2020-02-03,769657.0,240595.8392857143,True
BRITANNIA,2020-02-03,739318.0,900852.2678571428,False
BSOFT,2020-02-03,3195373.0,904766.6785714285,True
CADILAHC,2020-02-03,2897472.0,6072605.5,False
CANBK,2020-02-03,13475876.0,11332089.232142856,True
CANFINHOME,2020-02-03,228845.0,458306.0,False
CAPACITE,2020-02-03,20351.0,50921.96428571428,False
CAPLIPOINT,2020-02-03,38457.0,126452.44642857143,False
CARBORUNIV,2020-02-03,52552.0,70438.39285714286,False
CARERATING,2020-02-03,33878.0,134323.4642857143,False
CASTROLIND,2020-02-03,1413094.0,1476952.0714285714,False
CCL,2020-02-03,734383.0,228965.0892857143,True
CEATLTD,2020-02-03,151450.0,128090.5,True
CENTURYPLY,2020-02-03,182182.0,375362.5535714286,False
CENTURYTEX,2020-02-03,1514928.0,1665916.4464285714,False
CERA,2020-02-03,3296.0,18348.303571428572,False
CESC,2020-02-03,1007295.0,792617.6607142857,True
CGCL,2020-02-03,144524.0,228462.3392857143,False
CHAMBLFERT,2020-02-03,1047844.0,871906.9464285715,True
CHOLAFIN,2020-02-03,21892494.0,9155171.625,True
CHOLAHLDNG,2020-02-03,129295.0,174939.1607142857,False
CIGNITITEC,2020-02-03,27410.0,42905.66071428572,False
CIPLA,2020-02-03,7710100.0,9265067.17857143,False
CLNINDIA,2020-02-03,152030.0,54171.142857142855,True
COALINDIA,2020-02-03,6084254.0,12810572.160714285,False
COCHINSHIP,2020-02-03,266946.0,287114.16071428574,False
COLPAL,2020-02-03,1423632.0,1070984.9642857143,True
CONCOR,2020-02-03,1211102.0,1781954.8035714286,False
COROMANDEL,2020-02-03,1536578.0,309281.78571428574,True
CREDITACC,2020-02-03,332059.0,169566.76785714287,True
CRISIL,2020-02-03,11269.0,33159.46428571428,False
CUB,2020-02-03,1796919.0,1662400.6607142857,True
CUMMINSIND,2020-02-03,891151.0,1668009.2142857143,False
CYIENT,2020-02-03,138589.0,746962.8928571428,False
DAAWAT,2020-02-03,637081.0,1004050.8928571428,False
DABUR,2020-02-03,5829539.0,3508616.964285714,True
DBCORP,2020-02-03,80552.0,108562.66071428571,False
DBL,2020-02-03,95507.0,288488.875,False
DCBBANK,2020-02-03,5855917.0,1912079.1785714286,True
DCMSHRIRAM,2020-02-03,201672.0,132778.92857142858,True
DEEPAKFERT,2020-02-03,591727.0,982682.0178571428,False
DEEPAKNTR,2020-02-03,2688670.0,1220609.75,True
DELTACORP,2020-02-03,286578.0,1675213.0,False
DFMFOODS,2020-02-03,13137.0,57798.33928571428,False
DHANUKA,2020-02-03,354645.0,38054.17857142857,True
DIAMONDYD,2020-02-03,10982.0,40161.55357142857,False
DISHTV,2020-02-03,5487738.0,5375913.839285715,True
DIVISLAB,2020-02-03,720014.0,943519.2142857143,False
DIXON,2020-02-03,23566.0,57043.21428571428,False
DLF,2020-02-03,4864921.0,10013508.035714285,False
DMART,2020-02-03,751860.0,443273.08928571426,True
DOLAT,2020-02-03,113478.0,61003.107142857145,True
DOLLAR,2020-02-03,38071.0,68332.07142857143,False
DRREDDY,2020-02-03,861668.0,1301830.892857143,False
ECLERX,2020-02-03,113264.0,60123.66071428572,True
EDELWEISS,2020-02-03,1279444.0,2246240.214285714,False
EICHERMOT,2020-02-03,301788.0,224478.5357142857,True
EIDPARRY,2020-02-03,919914.0,258313.07142857142,True
EIHAHOTELS,2020-02-03,19342.0,8467.232142857143,True
EIHOTEL,2020-02-03,477731.0,209316.14285714287,True
ELGIEQUIP,2020-02-03,9427.0,203551.9107142857,False
EMAMILTD,2020-02-03,406946.0,826274.5714285715,False
ENDURANCE,2020-02-03,64555.0,214168.9642857143,False
ENGINERSIN,2020-02-03,515296.0,1539801.125,False
ENIL,2020-02-03,2730.0,7174.285714285715,False
EQUITAS,2020-02-03,12069211.0,13425683.392857144,False
ERIS,2020-02-03,20926.0,74112.17857142857,False
ESABINDIA,2020-02-03,3518.0,4222.285714285715,False
ESCORTS,2020-02-03,2214746.0,3599360.4821428573,False
ESSELPACK,2020-02-03,81632.0,132812.10714285713,False
EXCELINDUS,2020-02-03,110709.0,25447.23214285714,True
EXIDEIND,2020-02-03,2577219.0,2971118.0,False
FDC,2020-02-03,216682.0,363752.8214285714,False
FEDERALBNK,2020-02-03,42961149.0,24981695.0,True
