company,ema50,ema200,action
3MINDIA,20394.504558166256,20225.32568251353,buy
AARTIIND,1021.936778743524,939.334336606951,buy
AAVAS,1377.9226734607057,1410.722072801114,sell
ABB,927.2930615110596,1035.6847205066754,sell
ABBOTINDIA,16266.579405885976,14833.947581719944,buy
ABCAPITAL,60.37532316230922,67.62203930084695,sell
ABFRL,132.79879292940385,158.61148885967037,sell
ACC,1359.0693509425375,1346.4048067453289,buy
ADANIGAS,160.7721793994609,143.9992425401779,buy
ADANIGREEN,384.34313872967067,262.42203610312197,buy
ADANIPORTS,338.85642277958556,337.9604495690868,buy
ADANIPOWER,37.22744305059996,41.880031109919294,sell
ADANITRANS,249.77882672205357,241.91914287401764,buy
ADVENZYMES,200.27624765987972,173.84552713393253,buy
AEGISCHEM,195.64112831474728,188.9915074522887,buy
AFFLE,2075.518063928148,1676.9625211728426,buy
AIAENG,1707.7542331652946,1657.4854756841655,buy
AJANTPHARM,1543.2141235415427,1369.0306110952588,buy
AKZOINDIA,1983.5075134196381,1955.4967833461333,buy
ALKEM,2696.61920629296,2435.303747645323,buy
ALKYLAMINE,2675.014891331256,1899.4147232093492,buy
ALLCARGO,101.62756084512766,93.36309829538783,buy
AMARAJABAT,711.2825299797057,672.1278112565705,buy
AMBER,1644.9484929350665,1363.5742983703303,buy
AMBUJACEM,210.98188943671877,199.40137137383968,buy
APLAPOLLO,2055.871412057891,1725.8958442831024,buy
APLLTD,964.6205446933454,792.2949236046211,buy
APOLLOHOSP,1595.194484351212,1477.0272594157254,buy
APOLLOTYRE,119.46027300825271,128.72856815878725,sell
ARVINDFASN,146.65166771525477,239.95557930734594,sell
ASAHIINDIA,193.98716055834754,193.4907369875898,buy
ASHOKA,64.7437054368048,74.43766590248106,sell
ASHOKLEY,59.11159090809175,61.60611301140064,sell
ASIANPAINT,1814.4667600392283,1718.2909352530928,buy
ASTERDM,129.12014073265775,127.30269594643585,buy
ASTRAL,1049.8176238476665,1011.2343498348783,buy
ASTRAZEN,3390.254904472969,2953.698740218842,buy
ATUL,5287.798779617059,4653.311193754072,buy
AUBANK,678.6640455904379,674.2812671928032,buy
AUROPHARMA,828.688476376936,689.0436212956441,buy
AVANTIFEED,487.43592382401425,461.4571089488823,buy
AXISBANK,447.7921000622689,514.2154993707279,sell
BAJAJ-AUTO,2948.297071386151,2845.520447028257,buy
BAJAJCON,170.10501116118022,186.70291346415917,sell
BAJAJELEC,447.94874779045307,404.95214886724784,buy
BAJAJFINSV,6215.1033757782525,6596.638467104897,sell
BAJAJHLDNG,2628.855764776211,2745.9375016331896,sell
BAJFINANCE,3288.5394569541454,3207.620472318959,buy
BALKRISIND,1293.2729976681371,1108.858269753233,buy
BALMLAWRIE,113.55030870599312,110.80631378142401,buy
BALRAMCHIN,139.5075956080215,133.362725575455,buy
BANDHANBNK,308.5861293047253,349.3740150303883,sell
BANKBARODA,48.191480054980204,63.16700215453462,sell
BANKINDIA,48.00154783996808,52.000882240346996,sell
BASF,1365.532747732887,1193.9420735330204,buy
BATAINDIA,1299.2025314334805,1385.6143351892092,sell
BAYERCROP,5778.258584657627,4886.151744105684,buy
BBTC,1305.3242115493886,1124.8992267308995,buy
BDL,387.5021534007659,316.67846207094345,buy
BEL,101.2134096160043,91.48238156073276,buy
BEML,671.4774971276802,713.1892842557501,sell
BERGEPAINT,535.3875985743797,496.7433371105791,buy
BHARATFORG,431.25416817054133,402.0071262695357,buy
BHARATRAS,9209.273557965429,7448.618576143507,buy
BHARTIARTL,543.7419568088135,505.5815139647376,buy
BHEL,37.06738428994909,37.94571036508673,sell
BIOCON,397.15526007140653,349.60219635897425,buy
BIRLACORPN,593.6624774523906,576.4785362402997,buy
BLISSGVS,126.59966188790104,120.30240567789443,buy
BLUEDART,2070.50906599765,2225.2708821482315,sell
BLUESTARCO,548.5009361985916,600.6653436342384,sell
BOMDYEING,67.89654666452188,71.27393164628518,sell
BOSCHLTD,13019.839678125622,12905.395130916817,buy
BPCL,406.0825436043918,399.83365156168674,buy
BRIGADE,151.50341710941225,157.5456898061276,sell
BRITANNIA,3731.9598600766785,3340.726728594108,buy
BSE,488.8904171419573,474.05318159115666,buy
BSOFT,135.7816356510498,99.39801108529743,buy
CADILAHC,377.0845926293078,330.121092187731,buy
CANBK,103.64593634371788,132.62449301962343,sell
CANFINHOME,367.86299468992553,363.2755668168757,buy
CAPLIPOINT,469.9182417818131,386.59160044551373,buy
CARBORUNIV,255.67162908128108,269.0396936137744,sell
CARERATING,414.1575688835974,476.27377542732296,sell
CASTROLIND,120.52716234974547,125.49804448682048,sell
CCL,250.405991286089,229.2650579098492,buy
CDSL,352.9012853019515,281.6477500440207,buy
CEATLTD,885.6039748957207,900.3127314148652,sell
CENTRALBK,17.344402964989513,17.917388518454043,sell
CENTURYPLY,136.20075977138663,136.86626626029783,sell
CENTURYTEX,322.1488029790799,412.9167338680431,sell
CERA,2348.832070869035,2373.2852747333413,sell
CESC,603.8160618712451,632.2032550487115,sell
CGCL,192.78791117126875,176.13226872526303,buy
CHAMBLFERT,151.1810717264175,147.45423451138245,buy
CHENNPETRO,79.89891912977363,99.45123894598413,sell
CHOLAFIN,215.59362687901486,223.6501822384675,sell
CHOLAHLDNG,369.30962737024777,383.78863344090416,sell
CIPLA,706.9549960122855,598.596946486743,buy
COALINDIA,134.85625977255472,155.79494709090474,sell
COCHINSHIP,328.346661595046,321.3661307353408,buy
COLPAL,1403.0850236189551,1373.2644953626173,buy
CONCOR,409.23862754360806,440.91094302836035,sell
COROMANDEL,757.0637895117862,643.4277495170131,buy
CREDITACC,590.1935343532663,579.9224331310727,buy
CRISIL,1722.2720210235946,1592.5511707198862,buy
CROMPTON,251.91889865778955,241.5329350063652,buy
CUB,129.75674858738023,155.39595623327614,sell
CUMMINSIND,429.967926845709,463.07071871319175,sell
CYIENT,339.14893946314555,342.4357017196145,sell
DABUR,486.56253836052497,469.4455245872998,buy
DALBHARAT,727.0110808508633,722.4299423854175,buy
DBCORP,77.4287313483556,97.75537063726499,sell
DBL,335.4218259243047,333.63782697214356,buy
DCAL,169.16826943161502,136.08090595754257,buy
DCBBANK,84.22573866902961,112.40028104257698,sell
DCMSHRIRAM,344.150914842354,333.1006454018684,buy
DEEPAKNTR,617.4863441205487,490.4078496784957,buy
DELTACORP,103.0926074141942,119.98798505095473,sell
DHANUKA,771.5836604894712,590.535282310408,buy
DISHTV,8.666437290306382,10.920989073822145,sell
DIVISLAB,2820.2279856864284,2310.939167362647,buy
DIXON,7337.073116367548,5305.636010584273,buy
DLF,152.20165198471992,164.3221000371471,sell
DMART,2227.7711246299673,2114.4398119867283,buy
DRREDDY,4288.398544666103,3692.422034901618,buy
ECLERX,594.459974949647,549.261612201162,buy
EDELWEISS,72.03138689955482,78.13515999715906,sell
EICHERMOT,10431.347076719348,15650.711607589634,sell
EIDPARRY,276.61962726787374,225.3675811113013,buy
EIHOTEL,76.2092638983145,96.48317318990574,sell
ELGIEQUIP,191.90143622352497,190.91433719436117,buy
EMAMILTD,293.73315634747047,269.37519270798754,buy
ENDURANCE,967.1366050411189,916.346702722567,buy
ENGINERSIN,69.0327863007646,77.99756702218171,sell
EQUITAS,53.74633268958073,69.01051036312766,sell
ERIS,497.72733718992515,480.8458862285633,buy
ESABINDIA,1387.119445003543,1296.299213044995,buy
ESCORTS,1098.0441349590612,896.1396274252781,buy
ESSELPACK,244.48476090982126,190.72993961022755,buy
EXIDEIND,161.98184155404434,166.7738784797559,sell
FCONSUMER,11.344329123371121,15.917035980007823,sell
FDC,300.9786972101622,251.77134894921863,buy
FEDERALBNK,54.040535792553,62.18764121394166,sell
FINCABLES,280.2437929276281,301.46635334330455,sell
FINEORG,2285.331049930206,2028.8798395286672,buy
FINPIPE,472.9823222446566,480.48098334105794,sell
FLUOROCHEM,451.8352002322654,423.5695005632254,buy
FORTIS,132.84690381901214,132.02087434902222,buy
FRETAIL,117.34195917110377,187.90639023478838,sell
FSL,51.89633793373313,44.069784256362084,buy
GAIL,98.16574274037113,106.06018754804421,sell
GALAXYSURF,1684.820801195063,1498.9014284283567,buy
GARFIBRES,1723.8591971944945,1440.9758649127243,buy
GEPIL,484.02896405398013,550.9614209983706,sell
GESHIP,246.5698016243597,246.4091309708263,buy
GET&D,95.07615442209809,113.57609941717334,sell
GHCL,151.38896359675203,155.2050402043313,sell
GICRE,147.65552364594305,169.4501564425297,sell
GILLETTE,5184.5056281491725,5569.136707210176,sell
GLAXO,1500.1839910074689,1445.970605274362,buy
GLENMARK,451.4361979101042,396.98508397319955,buy
GMDCLTD,44.43490129886164,48.552556607763464,sell
GMMPFAUDLR,5024.529561504103,3593.616736817873,buy
GMRINFRA,22.071937947819805,20.16614507583336,buy
GNFC,178.7511918672672,174.9557210290372,buy
GODFRYPHLP,957.4693537826383,1013.6233018414258,sell
GODREJAGRO,465.39896976255244,454.30193934722456,buy
GODREJCP,672.1985698004622,649.6834010034544,buy
GODREJIND,391.8342072657432,382.0003479590151,buy
GODREJPROP,873.9971775818195,853.0786581946538,buy
GPPL,78.33604961967346,75.9660236698054,buy
GRANULES,281.7683211190421,202.49292130239002,buy
GRAPHITE,187.24435160601493,230.2763513195678,sell
GRASIM,637.5932702335283,649.5152121247493,sell
GREAVESCOT,83.26525987578486,97.77989400005082,sell
GRINDWELL,511.23943968118726,528.1619319718156,sell
GRSE,203.60572125232386,179.95168290522312,buy
GSFC,61.19199014270225,61.93267641461567,sell
GSPL,208.53743395107358,208.80164174710842,sell
GUJALKALI,336.2440925568908,355.57589705691134,sell
GUJGASLTD,305.01645540284545,266.41967076964437,buy
GULFOILLUB,636.5281748600402,671.6774903885126,sell
HAL,966.8058625109045,788.1109605188674,buy
HATHWAY,36.14160850158289,28.463066177528773,buy
HATSUN,708.5266824791634,637.5380562272663,buy
HAVELLS,604.382255925839,598.0227749472491,buy
HCLTECH,665.615845762913,588.457387633428,buy
HDFC,1816.7387893033952,1907.8396650238644,sell
HDFCAMC,2451.5406529186926,2555.1339109192527,sell
HDFCBANK,1071.5612746122251,1073.7934687092584,sell
HDFCLIFE,585.3320098985249,549.2442387977381,buy
HEG,818.5741854272294,946.6089713268628,sell
HEIDELBERG,183.91772121480452,177.47006703851963,buy
HERITGFOOD,313.2124645770373,311.00737300698336,buy
HEROMOTOCO,2776.8473459568613,2497.79401235271,buy
HEXAWARE,377.8827897332121,339.8202658670709,buy
HFCL,14.768492858407908,14.595509278538028,buy
HIMATSEIDE,73.71153793015985,88.68189175963786,sell
HINDALCO,174.41864297207354,165.5081264519322,buy
HINDCOPPER,36.28220754352561,34.78323004045985,buy
HINDPETRO,211.9194972912479,224.54017752302158,sell
HINDUNILVR,2181.5858312399096,2110.1194518724433,buy
HINDZINC,214.30745937407002,200.54991561389147,buy
HONAUT,30685.716094815612,28617.696170618863,buy
HSCL,50.29779653392986,55.982005318291684,sell
HUDCO,34.34583973722487,32.587018694130684,buy
IBREALEST,61.00089950454011,63.72881798412781,sell
IBULHSGFIN,202.57401243148223,249.00387215937513,sell
IBVENTURES,151.61577985584293,150.27318749328225,buy
ICICIBANK,369.50229999568325,391.01037638070443,sell
ICICIGI,1293.576009910436,1253.71443908109,buy
ICICIPRULI,439.24934508935877,424.0366027345251,buy
ICRA,2621.9093955460094,2643.8893080648195,sell
IDBI,38.83308969795554,34.53737643524123,buy
IDEA,8.914885946784768,7.971947944360016,buy
IDFC,23.754345292036717,24.81378415047265,sell
IDFCFIRSTB,29.075055288921355,31.148012549554903,sell
IEX,184.69427434146206,169.0619182867992,buy
IFBIND,424.1713360500431,480.05446395589644,sell
IFCI,6.797054076317363,6.633513068426118,buy
IGL,411.63089696046507,415.8048361309292,sell
IIFL,77.69935294677244,102.92159069051594,sell
IIFLWAM,1033.6437934123705,1063.3215462149547,sell
INDHOTEL,90.9536257787506,101.65513271104676,sell
INDIACEM,117.7746372810444,107.18600855114263,buy
INDIAMART,2996.181058760893,2451.028527489959,buy
