company,ema50,ema200,ratio,outcome,action,longName,price,regularMarketVolume,marketCap,bookValue,priceToBook,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh
3MINDIA,20365.292524298817,20219.597060036012,-0.007154106138616374,close by,buy,3M India Limited,19649.55,3849,221466148864,1554.249,12.642472,4967,3179,3949.5508,0.25156376,15700.0 - 25200.0,-5550.449,-0.22025593,15700.0,25200.0
AARTIIND,1023.70788450205,940.6056364972892,-0.08117769655079214,close by,buy,Aarti Industries Limited,1067.1,219296,185934708736,170.871,6.245062,610658,338229,399.09998,0.597455,668.0 - 1229.0,-161.90002,-0.13173313,668.0,1229.0
AAVAS,1379.1766872235823,1410.7138932151734,0.022866690166492367,close by,sell,Aavas Financiers Limited,1409.9,42620,110537007104,267.855,5.2636685,118521,641306,560.85004,0.66056186,849.05 - 2101.0,-691.1,-0.3289386,849.05,2101.0
ABB,928.0894110826234,1034.8082553830861,0.11498767578435612,close by,sell,ABB India Limited,947.6,142605,200630599680,169.533,5.589472,212027,217861,225.59998,0.31246534,722.0 - 1601.0,-653.4,-0.40811995,722.0,1601.0
ABBOTINDIA,16277.378222076723,14850.942622884422,-0.08763300697022883,close by,buy,Abbott India Limited,16541.95,10260,351309660160,1144.308,14.455854,16277,11047,6866.949,0.7097622,9675.0 - 18679.8,-2137.8516,-0.114447236,9675.0,18679.8
ABCAPITAL,60.83315374620917,67.66609864165203,0.1123227134327004,close by,sell,Aditya Birla Capital Limited,72.05,29976318,173432995840,53.395,1.3493773,3748437,5381551,34.700005,0.9290497,37.35 - 115.35,-43.299995,-0.37537923,37.35,115.35
ABFRL,132.95570313028048,158.3944591501389,0.19133256732079806,close by,sell,Aditya Birla Fashion and Retail Limited,136.8,2455786,118228574208,13.878,9.857328,2208811,2150406,39.800003,0.4103093,97.0 - 285.5,-148.7,-0.52084064,97.0,285.5
ACC,1357.1058469840066,1346.0326196135345,-0.008159442680967658,close by,buy,ACC Limited,1309.0,783562,245767372800,632.36,2.0700235,1093079,730781,413.84998,0.4623247,895.15 - 1709.0,-400.0,-0.234055,895.15,1709.0
ADANIGAS,161.83601526208926,144.43606593675807,-0.10751592775657769,close by,buy,Adani Gas Limited,187.9,7646084,206708785152,13.374,14.049648,2487159,3076771,111.299995,1.4530026,76.6 - 200.85,-12.950012,-0.064476036,76.6,200.85
ADANIGREEN,390.55517250497775,265.2113690772203,-0.3209375070462289,close by,buy,Adani Green Energy Limited,542.75,993027,851835224064,15.067,36.02243,1566088,2359175,497.75,11.061111,45.0 - 571.3,-28.549988,-0.049973723,45.0,571.3
