index,company,yealy_start_date,yealy_start_date_close,yealy_end_date,yealy_end_date_close,return_yearly,monthly_start_date,monthly_start_date_close,monthly_end_date,monthly_end_date_close,return_monthly,ema50,ema200,action
9,ADANIGREEN,03-09-2019,44.45,01-09-2020,468.95,955.01,31-07-2020,336.00,01-09-2020,468.95,26.35,368.86,256.20,buy
20,ALKYLAMINE,03-09-2019,754.15,01-09-2020,3050.15,304.45,31-07-2020,2260.65,01-09-2020,3050.15,24.97,2618.08,1869.88,buy
164,GMMPFAUDLR,03-09-2019,1437.60,01-09-2020,5265.15,266.25,31-07-2020,3989.30,01-09-2020,5265.15,20.61,4955.50,3547.91,buy
173,GRANULES,03-09-2019,90.10,01-09-2020,314.05,248.56,31-07-2020,270.05,01-09-2020,314.05,10.70,277.67,199.89,buy
288,LAURUSLABS,03-09-2019,328.05,01-09-2020,1088.75,231.89,31-07-2020,676.35,01-09-2020,1088.75,11.94,887.59,590.12,buy
123,DIXON,03-09-2019,2648.40,01-09-2020,8342.90,215.02,31-07-2020,7376.15,01-09-2020,8342.90,6.72,7252.45,5244.11,buy
227,INDIAMART,03-09-2019,1200.05,01-09-2020,3759.15,213.25,31-07-2020,2254.40,01-09-2020,3759.15,23.14,2875.85,2410.76,buy
15,AFFLE,03-09-2019,835.60,01-09-2020,2512.95,200.74,31-07-2020,1762.05,01-09-2020,2512.95,33.77,2013.80,1653.90,buy
331,NAVINFLUOR,03-09-2019,721.80,01-09-2020,1929.95,167.38,31-07-2020,1777.85,01-09-2020,1929.95,6.94,1867.67,1462.59,buy
140,ESSELPACK,03-09-2019,110.15,01-09-2020,282.75,156.70,31-07-2020,190.05,01-09-2020,282.75,14.85,241.29,188.87,buy
118,DEEPAKNTR,03-09-2019,272.05,01-09-2020,690.00,153.63,31-07-2020,534.45,01-09-2020,690.00,5.28,607.26,485.36,buy
77,BSOFT,03-09-2019,66.50,01-09-2020,163.30,145.56,31-07-2020,102.65,01-09-2020,163.30,25.06,132.83,97.95,buy
120,DHANUKA,03-09-2019,311.10,01-09-2020,762.00,144.94,31-07-2020,888.55,01-09-2020,762.00,-2.79,770.34,586.57,buy
245,ISEC,03-09-2019,213.45,01-09-2020,481.00,125.35,31-07-2020,530.40,01-09-2020,481.00,4.15,474.80,407.11,buy
256,JINDALSTEL,03-09-2019,92.80,01-09-2020,206.90,122.95,31-07-2020,173.40,01-09-2020,206.90,8.60,189.34,154.49,buy
139,ESCORTS,03-09-2019,491.60,01-09-2020,1091.00,121.93,31-07-2020,1203.70,01-09-2020,1091.00,-2.79,1086.81,889.33,buy
23,AMBER,03-09-2019,822.75,01-09-2020,1753.85,113.17,31-07-2020,1505.50,01-09-2020,1753.85,13.09,1629.40,1354.10,buy
441,TATACOMM,03-09-2019,414.25,01-09-2020,876.15,111.50,31-07-2020,669.45,01-09-2020,876.15,10.99,750.51,552.21,buy
86,CDSL,03-09-2019,192.50,01-09-2020,401.60,108.62,31-07-2020,312.05,01-09-2020,401.60,10.79,342.64,277.71,buy
403,SCI,03-09-2019,27.95,01-09-2020,57.95,107.33,31-07-2020,60.90,01-09-2020,57.95,5.30,57.97,51.76,buy
