company,yealy_start_date,yealy_start_date_close,yealy_end_date,yealy_end_date_close,return_yearly,monthly_start_date,monthly_start_date_close,monthly_end_date,monthly_end_date_close,return_monthly,ema_date,ema50,ema200,action
ADANIGREEN,07-01-2019,41.099998474121094,03-01-2020,192.60000610351562,368.61317093427044,03-12-2019,106.69999694824219,03-01-2020,192.60000610351562,36.37210060006435,05-01-2020,124.88273204500699,77.86409824125542,buy
AAVAS,07-01-2019,840.6500244140625,03-01-2020,2039.9000244140625,142.65746329287072,03-12-2019,1723.25,03-01-2020,2039.9000244140625,10.910661593168003,05-01-2020,1785.9393265934466,1526.6603666966257,buy
NAM-INDIA,07-01-2019,156.25,03-01-2020,354.3500061035156,126.78400390624999,03-12-2019,377.6000061035156,03-01-2020,354.3500061035156,-0.11071723275120071,05-01-2020,337.95890375708325,275.01299679193534,buy
GRSE,07-01-2019,95.44999694824219,03-01-2020,205.0500030517578,114.82452551878683,03-12-2019,221.60000610351562,03-01-2020,205.0500030517578,1.16563834093093,05-01-2020,199.37839769203518,158.6325333797672,buy
HDFCAMC,07-01-2019,1507.3499755859375,03-01-2020,3190.300048828125,111.64959037386062,03-12-2019,3707.800048828125,03-01-2020,3190.300048828125,-5.2953647473174215,05-01-2020,3151.8419529260073,2521.4896358556375,buy
CREDITACC,07-01-2019,382.54998779296875,03-01-2020,761.9000244140625,99.1635207753276,03-12-2019,750.4500122070312,03-01-2020,761.9000244140625,-4.219419050977291,05-01-2020,746.6815059657429,615.3860313799569,buy
DIXON,07-01-2019,2007.9000244140625,03-01-2020,3952.300048828125,96.83749194542042,03-12-2019,3177.0,03-01-2020,3952.300048828125,14.013691111664484,05-01-2020,3407.827867914257,2834.1837641582792,buy
GUJGASLTD,07-01-2019,131.39999389648438,03-01-2020,250.64999389648438,90.7534288730211,03-12-2019,194.60000610351562,03-01-2020,250.64999389648438,12.084690116120832,05-01-2020,215.24895713486984,183.5719630982396,buy
MANAPPURAM,07-01-2019,94.44999694824219,03-01-2020,176.9499969482422,87.34780589268765,03-12-2019,160.5500030517578,03-01-2020,176.9499969482422,10.125138154790282,05-01-2020,163.91269597180965,139.1563224583892,buy
JKCEMENT,07-01-2019,713.7000122070312,03-01-2020,1280.050048828125,79.35407411157588,03-12-2019,1162.800048828125,03-01-2020,1280.050048828125,7.953090196032608,05-01-2020,1147.4657278260593,1027.6610424080081,buy
AFFLE,08-08-2019,873.6500244140625,03-01-2020,1562.449951171875,78.84163080288073,03-12-2019,1689.1500244140625,03-01-2020,1562.449951171875,3.965870025338969,05-01-2020,1437.7810292339766,1428.6462274627327,buy
ASTRAZEN,07-01-2019,1468.449951171875,03-01-2020,2568.5,74.91232833303214,03-12-2019,2626.699951171875,03-01-2020,2568.5,-5.755466507315276,05-01-2020,2612.2744746464864,2220.392867243019,buy
ABBOTINDIA,07-01-2019,7574.2001953125,03-01-2020,13248.2001953125,74.91220001699335,03-12-2019,12573.400390625,03-01-2020,13248.2001953125,2.5987419795916678,05-01-2020,12422.458922603219,10210.774957965858,buy
DEEPAKNTR,07-01-2019,221.25,03-01-2020,386.45001220703125,74.66667218396891,03-12-2019,345.95001220703125,03-01-2020,386.45001220703125,9.6474161762109,05-01-2020,349.01279027334897,306.3928009375269,buy
ADANITRANS,07-01-2019,199.8000030517578,03-01-2020,346.54998779296875,73.44843968956079,03-12-2019,263.3500061035156,03-01-2020,346.54998779296875,7.226242744493838,05-01-2020,305.6016829698325,252.27247468601945,buy
SRF,07-01-2019,1997.8499755859375,03-01-2020,3452.64990234375,72.8182768744256,03-12-2019,3124.050048828125,03-01-2020,3452.64990234375,5.4379621733504635,05-01-2020,3198.811116069168,2826.1016207256675,buy
ADANIGAS,07-01-2019,101.6500015258789,03-01-2020,174.5,71.66748389627355,03-12-2019,146.25,03-01-2020,174.5,8.707591363281452,05-01-2020,153.61025319535605,145.13718445080417,buy
BALRAMCHIN,07-01-2019,108.0,03-01-2020,184.6999969482422,71.01851569281683,03-12-2019,142.39999389648438,03-01-2020,184.6999969482422,13.261480038836314,05-01-2020,164.96264131068992,146.29230008071258,buy
MCX,07-01-2019,724.1500244140625,03-01-2020,1237.550048828125,70.89691460405241,03-12-2019,1143.5,03-01-2020,1237.550048828125,4.008199604846752,05-01-2020,1128.1734408478621,969.7119748200794,buy
NH,07-01-2019,196.3000030517578,03-01-2020,328.3500061035156,67.26948599024757,03-12-2019,299.1499938964844,03-01-2020,328.3500061035156,7.392106039657764,05-01-2020,293.56296081579876,254.79723531873256,buy
PIIND,07-01-2019,864.4000244140625,03-01-2020,1444.300048828125,67.08699769035181,03-12-2019,1403.25,03-01-2020,1444.300048828125,-1.6862613964979123,05-01-2020,1425.4312826652206,1230.2323866042202,buy
